service_id,date,exception_type
1.5.H577,20200706,1
1.5.H577,20200707,1
1.5.H577,20200708,1
1.5.H577,20200709,1
1.5.H596,20200710,1
1.5.H591,20200711,1
1.5.H582,20200712,1
1.5.H577,20200713,1
1.5.H577,20200714,1
1.5.H577,20200715,1
1.5.H577,20200716,1
1.5.H596,20200717,1
1.5.H591,20200718,1
1.5.H582,20200719,1
1.5.H577,20200720,1
1.5.H577,20200721,1
1.5.H577,20200722,1
1.5.H577,20200723,1
1.5.H596,20200724,1
1.5.H591,20200725,1
1.5.H582,20200726,1
1.5.H577,20200727,1
1.5.H577,20200728,1
1.5.H577,20200729,1
1.5.H577,20200730,1
1.5.H596,20200731,1
1.5.H591,20200801,1
1.5.H582,20200802,1
1.5.H577,20200803,1
